KAMIK,GREG,PEUR,PREV,
5,5,5,5,
5,6,5,5,
5,6,5,5,
4,6,6,4,
5,7,7,4,
5,7,8,4,
5,7,8,4,
5,7,8,5,
5,7,8,5,
5,8,9,5,
6,8,9,5,
6,8,10,6,
6,8,10,6,
6,8,10,7,
6,8,11,7,
7,9,12,8,
8,9,12,8,
8,9,12,8,
8,9,13,8,
8,9,13,9,
9,9,13,9,
9,10,14,9,
10,10,14,9,
10,10,14,9,
10,10,14,9,
10,10,14,9,
9,10,14,9,
9,10,15,10,
8,10,15,10,
9,11,15,10,
9,11,13,11,
9,12,12,11,
8,13,12,11,
8,13,12,12,
8,13,12,13,
9,13,12,13,
9,13,12,14,
9,13,12,14,
10,13,12,14,
10,13,12,14,
11,13,12,15,
11,13,12,16,
10,14,12,16,
10,14,12,16,
10,14,12,17,
11,15,12,17,
11,15,13,17,
11,15,12,17,
11,15,12,17,
11,14,13,18,
11,14,14,18,
10,14,14,19,
11,15,14,20,
11,15,15,21,
11,15,14,21,
11,15,13,21,
12,16,13,21,
12,16,13,21,
12,17,14,21,
10,18,14,21,
11,17,14,21,
10,17,13,22,
10,17,13,22,
11,17,14,22,
11,17,14,20,
11,16,15,21,
11,16,16,21,
11,17,16,21,
10,17,16,21,
10,13,16,20,
11,12,17,19,
11,11,17,19,
11,9,16,20,
11,8,16,20,
11,9,17,20,
11,8,17,19,
10,8,17,18,
10,8,17,18,
10,8,17,18,
10,8,16,18,
10,8,16,18,
10,8,16,18,
10,8,17,18,
11,8,17,18,
12,8,17,17,
12,8,17,16,
11,8,16,16,
11,8,16,17,
11,8,16,17,
11,8,15,17,
11,7,17,16,
10,7,17,16,
11,7,18,16,
11,7,18,16,
8,6,18,14,
8,6,18,14,
8,6,18,14,
8,6,19,14,
8,5,20,14,
8,6,20,14,
9,7,20,14,
9,7,20,14,
9,8,20,15,
9,9,20,15,
10,10,21,15,
9,11,21,16,
9,11,21,16,
9,12,22,16,
9,12,22,16,
9,12,23,16,
9,12,21,16,
10,12,22,15,
10,13,21,15,
10,13,20,15,
10,13,21,15,
11,14,22,16,
11,14,21,15,
11,14,21,14,
12,14,21,13,
12,14,21,14,
12,15,21,13,
12,15,20,13,
12,14,20,13,
12,11,21,14,
12,10,21,14,
12,9,22,15,
11,9,23,15,
11,9,25,16,
12,9,26,16,
12,9,25,16,
12,8,25,17,
12,8,25,17,
10,7,26,17,
11,6,26,17,
11,5,26,18,
10,5,26,18,
10,6,26,19,
10,6,26,19,
10,7,27,19,
10,6,27,19,
10,6,27,19,
10,5,27,19,
10,5,28,19,
9,5,29,19,
9,5,29,20,
9,5,30,20,
10,5,29,20,
11,5,29,20,
11,4,28,21,
10,4,28,21,
11,5,28,22,
12,6,28,22,
12,6,29,21,
11,5,29,21,
11,5,29,22,
11,6,29,23,
10,6,29,24,
9,6,30,25,
8,6,31,24,
7,6,32,24,
7,6,31,24,
8,7,31,24,
9,7,31,25,
10,8,31,25,
11,8,32,26,
11,8,32,26,
11,8,33,24,
11,7,32,23,
11,7,32,23,
12,7,32,22,
12,6,33,22,
12,6,34,23,
11,6,34,23,
11,6,33,23,
10,6,33,23,
10,6,34,24,
11,6,34,24,
11,7,33,24,
12,6,34,23,
12,7,33,23,
13,6,34,24,
14,6,33,24,
14,5,33,23,
13,5,31,22,
13,5,29,22,
13,5,30,22,
11,6,30,23,
10,5,30,23,
10,5,30,22,
10,5,30,22,
9,5,30,23,
10,5,30,23,
10,5,28,24,
9,5,28,22,
9,6,27,22,
8,6,27,22,
8,5,28,22,
8,5,27,21,
9,5,26,21,
10,4,25,21,
10,4,25,21,
10,4,26,21,
10,3,27,21,
11,3,27,21,
10,4,27,21,
10,6,27,21,
9,6,27,21,
9,6,27,21,
9,6,27,21,
9,6,28,21,
9,5,28,21,
9,5,28,21,
10,5,28,22,
10,6,28,22,
10,6,29,22,
11,6,30,21,
11,7,29,21,
11,7,28,21,
12,6,28,21,
12,6,28,21,
12,6,28,21,
10,7,28,21,
11,8,28,21,
11,9,28,21,
11,8,28,20,
10,8,29,21,
10,8,29,21,
10,8,29,21,
11,9,29,21,
12,9,29,21,
12,8,27,20,
13,9,27,21,
13,9,25,20,
13,9,26,21,
14,9,26,21,
13,9,26,22,
12,9,26,23,
12,9,26,24,
12,9,26,25,
11,9,27,26,
12,9,27,26,
13,9,27,26,
12,9,26,25,
12,10,26,25,
11,9,26,25,
11,9,25,25,
10,9,25,24,
10,10,26,23,
10,9,27,23,
11,9,26,23,
11,9,26,23,
11,9,25,22,
11,10,25,22,
12,9,26,21,
11,9,26,21,
11,10,25,21,
11,10,24,21,
11,10,24,21,
10,10,24,22,
10,11,24,22,
10,10,23,22,
10,10,23,23,
10,10,23,22,
10,10,23,22,
10,11,23,22,
10,9,24,22,
10,10,25,23,
11,10,25,23,
11,9,26,23,
11,8,26,23,
11,9,26,23,
11,9,26,24,
11,9,25,25,
9,9,25,26,
9,9,26,26,
9,9,25,25,
9,10,25,25,
9,11,26,25,
9,10,26,26,
10,11,27,26,
10,10,27,26,
9,10,27,27,
9,10,26,27,
9,11,26,27,
9,10,26,26,
8,10,27,26,
8,11,28,26,
8,11,27,26,
8,11,27,26,
8,11,28,27,
9,12,28,28,
9,12,28,29,
9,12,28,30,
9,13,27,30,
9,13,27,31,
9,13,27,31,
10,13,27,31,
10,14,27,31,
10,14,26,32,
10,14,26,32,
10,13,25,32,
9,13,24,32,
9,13,24,32,
9,13,24,33,
9,13,24,34,
9,13,24,33,
9,13,23,31,
8,13,23,31,
8,13,23,31,
7,13,23,32,
8,13,23,33,
8,13,23,33,
8,14,22,33,
8,14,21,33,
7,14,21,32,
7,14,20,32,
8,15,20,32,
8,16,20,32,
9,15,20,32,
9,13,20,32,
